stop_id,stop_name,stop_lat,stop_lon,location_type
1664,OREE DU VERGER,45.51055678,4.557141449,0
1665,OREE DU VERGER,45.51051903,4.557229534,0
1666,ASSAILLY,45.5091698,4.573892223,0
1667,ASSAILLY,45.50919937,4.574213423,0
2175,MAIRIE LORETTE,45.51119491,4.577929594,0
2176,MAIRIE LORETTE,45.51122576,4.578186857,0
2177,RUE DU PILAT,45.51103467,4.582774515,0
2376,CIMETIERE S.JUST,45.51535029,4.263273502,0
2377,CIMETIERE S.JUST,45.51540139,4.263441686,0
1671,VORZELAS,45.51450478,4.301004288,0
1672,VORZELAS,45.51490004,4.301043938,0
1674,LE COIN,45.51563636,4.376516749,0
1675,LE COIN,45.51559525,4.376796848,0
1676,LA FOUGERE,45.51358563,4.425197658,0
1677,LA FOUGERE,45.51413953,4.425897025,0
1678,LE PUYT,45.51428402,4.442658571,0
1679,LE PUYT,45.51442012,4.442599754,0
1680,ALBUZY,45.51474126,4.453710322,0
1681,ALBUZY,45.51485865,4.453689218,0
1682,URBAIN,45.51619003,4.457042938,0
1683,URBAIN,45.51619736,4.458080117,0
1684,BERTHASSIERE,45.51367925,4.465561436,0
1685,BERTHASSIERE,45.51367925,4.465561436,0
1686,JUSSERANDIERE,45.51472645,4.543368393,0
1687,JUSSERANDIERE,45.51547724,4.5427199,0
1688,MULET,45.51509264,4.559410352,0
1689,MULET,45.51510291,4.559346757,0
1692,PLACE E. BROSSE,45.51434137,4.58482913,0
1693,PLACE E. BROSSE,45.5143447,4.585110896,0
2266,CENTRE,45.51301999,4.581613511,0
2267,CENTRE,45.51302256,4.581933641,0
1695,COLL. F.TRUFFAUT,45.51715589,4.600562154,0
2378,GYMNASE EGLISE,45.52004058,4.220386561,0
2379,GYMNASE EGLISE,45.52035908,4.219642148,0
2380,PONT DE BONSON,45.51805789,4.223762356,0
2391,PONT DE BONSON,45.51818272,4.223830622,0
1696,MONTMOLLOT,45.51855451,4.379837632,0
1697,MONTMOLLOT,45.51863534,4.379354166,0
1698,LE JOANNET,45.51743707,4.430028533,0
1699,LE JOANNET,45.51698393,4.429716937,0
1700,VIEIL ALBUZY,45.51830811,4.446409207,0
1701,VIEIL ALBUZY,45.51826145,4.446497037,0
1702,LE REY,45.52066211,4.448521839,0
1703,LE REY,45.51989233,4.448300387,0
1704,FAYET,45.51941202,4.463196311,0
1705,FAYET,45.51973771,4.463580106,0
1706,MAISONNEUVE 2,45.51726562,4.471460292,0
1709,MAISONNEUVE 2,45.51725418,4.471587866,0
1707,MAISONNEUVE 1,45.52033738,4.475547672,0
1708,MAISONNEUVE 1,45.52029945,4.475648622,0
2027,MAIRIE VALFLEURY,45.52096186,4.493636094,0
2028,MAIRIE VALFLEURY,45.52086773,4.493850061,0
2029,HAUT,45.52420147,4.491317154,0
2030,HAUT,45.52427994,4.491448247,0
2178,LA PICOTE,45.51834906,4.542220058,0
1714,GREZIEUX,45.51712438,4.591432992,0
1715,GREZIEUX,45.51682482,4.591113521,0
1716,RUE DE SAVOIE,45.51888585,4.594679885,0
1717,RUE DE SAVOIE,45.51897087,4.594926606,0
1718,LE GRAND PONT,45.52080419,4.598176664,0
1719,LE GRAND PONT,45.52040217,4.597584081,0
1720,SAVOIE,45.52027495,4.5958633,0
1721,SAVOIE,45.52006993,4.595765298,0
1723,COLL. L.MICHEL,45.52258776,4.613178406,0
2381,GARE BONSON,45.52263636,4.215328762,0
2382,GARE BONSON,45.52256892,4.215057634,0
2031,PL. DU FOREZ,45.52503634,4.257862948,0
2032,PL. DU FOREZ,45.52490977,4.257896954,0
1729,AV. ST-ETIENNE,45.52595187,4.268969089,0
1730,AV. ST-ETIENNE,45.52599463,4.269098611,0
1731,RD PT DE L'AVION,45.52564526,4.271608508,0
1732,RD PT DE L'AVION,45.52575996,4.271740552,0
1733,LA GOUYONNIERE,45.52311191,4.293078503,0
1734,LA GOUYONNIERE,45.52324682,4.293083279,0
1735,GRIGNOTIERE,45.52433616,4.373201961,0
1736,GRIGNOTIERE,45.52486886,4.373106371,0
1737,LE GRELON,45.52258639,4.450989489,0
1738,LE GRELON,45.52268797,4.450852546,0
1739,BORGIA,45.52242153,4.468676473,0
1740,BORGIA,45.52253548,4.469308204,0
1741,GRANGE FLACHON,45.52364286,4.47776253,0
1742,GRANGE FLACHON,45.52365088,4.477814053,0
1745,LE RECOU,45.52200794,4.485111921,0
1746,LE RECOU,45.52209984,4.485013073,0
1747,LE GRAND LOGIS,45.52159263,4.487989159,0
1748,LE GRAND LOGIS,45.52171939,4.487481989,0
1749,MAIRIE CELLIEU,45.52297128,4.541495553,0
1750,MAIRIE CELLIEU,45.52284336,4.541592873,0
1751,LE BACHAT MAIRIE,45.52289598,4.539380029,0
1752,LE BACHAT MAIRIE,45.52297591,4.539434428,0
1753,LE SARDON,45.52149127,4.593570075,0
1754,LE SARDON,45.52166549,4.593410751,0
1755,LYCEE R.CASSIN,45.52240127,4.601532486,0
1756,LYCEE R.CASSIN,45.52179492,4.599920037,0
1757,GARE R. DE GIER,45.52424473,4.606934421,0
1759,GARE R. DE GIER,45.52408816,4.606223782,0
1760,LES COLLINES,45.52564002,4.613560264,0
1761,LES COLLINES,45.52555375,4.613377451,0
2383,LA PLAINE BONSON,45.52925077,4.203493043,0
2384,LA PLAINE BONSON,45.52907047,4.203512557,0
1762,COLL. J.PREVERT,45.52799264,4.264392918,0
1763,COLL. J.PREVERT,45.52806393,4.264433815,0
1764,RD PT DALLIERE,45.52681531,4.262213762,0
1765,RD PT DALLIERE,45.5269127,4.262306777,0
1766,RUE RACINE,45.52633749,4.265397799,0
1767,RUE RACINE,45.52632143,4.265806927,0
1768,LA CHAPELLE,45.52726855,4.269847332,0
1769,LA CHAPELLE,45.52722159,4.269960916,0
1770,RD PT COLONNA,45.53001812,4.281505246,0
1771,RD PT COLONNA,45.53018833,4.281549649,0
1772,AEROPORT,45.52987183,4.2898993,0
1773,AEROPORT,45.52978799,4.290062783,0
1774,LES ESSARTS,45.52822353,4.295128793,0
1775,LES ESSARTS,45.5278616,4.296268255,0
2033,ENVOL STADIUM,45.52472838,4.300458779,0
2034,ENVOL STADIUM,45.52450512,4.300361226,0
1776,MAIRIE ST HEAND,45.52910691,4.372648005,0
1777,MAIRIE ST HEAND,45.52930593,4.37259132,0
